"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"51","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"52","AYUDANTE DE SERVICIOS","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"53","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","56.5","35.42","116.95","0","208.87","","","","","","","","","","","",""
"54","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"55","ASISTENTE TECNICO DE SOPORTE Y COMUNICACION","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"56","BARREDOR","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"57","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"58","COORDINADOR DE CENTROS INFANTILES","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","5964.1","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"59","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"60","OPERADOR DE CARGADORA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","72.79","35.42","135.52","0","243.73","","","","","","","","","","","",""
"61","OFICINISTA","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"62","JORNALERA","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"63","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"64","ECONOMA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"65","AUXILIAR DE ENFERMERIA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"66","AUXILIAR DE ARCHIVO","CODIGO DE TRABAJO","4.01.06.001.001.7.1.01.06","","561","4403.67","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"67","RESPONSABLE DE LA UNIDAD DE PLANIFICACION OPERATIVO Y PRESUPUESTO PARTICIPATIVO","LOSEP","3.01.06.001.001.7.1.01.05","Servidor Público 5","1212","7716.4","101","35.42","0","0","136.42","","","","","","","","","","","",""
