"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"1166","COORDINADOR DE CENTROS INFANTILES","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","5964.1","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1167","PEON","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","64.98","35.42","218.79","0","319.19","","","","","","","","","","","",""
"1168","CHOFER","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","596","7152","53.59","35.42","47.12","0","136.13","","","","","","","","","","","",""
"1169","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1170","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1171","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1172","OPERADOR DE PLANTA DE TRATAMIENTO DE AGUA POTABLE","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","738","8856","72.79","35.42","135.52","0","243.73","","","","","","","","","","","",""
"1173","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1174","ASISTENTE DE EDUCACION","LOSEP-SOC","4.05.02.001.001.7.1.05.10","Servidor Público de Apoyo 3","675","2700","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1175","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1176","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1177","ANALISTA DE GESTIÓN DOCUMENTAL Y ARCHIVO","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"1178","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1179","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1180","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1181","TÉCNICO EN MECANICA INDUSTRIAL","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","85.48","35.42","292.8","0","413.7","","","","","","","","","","","",""
"1182","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1183","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1184","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"1185","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6058.8","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"1186","INSPECTOR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1187","CONTROLADOR DEL SITU","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1188","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","596","7152","69.51","35.42","238.08","0","343.01","","","","","","","","","","","",""
"1189","TESORERA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 7","1676","12625.87","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"1190","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1191","AYUDANTE DE LABORATORIO","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1192","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","56.11","35.42","112.32","0","203.85","","","","","","","","","","","",""
"1193","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","2187.9","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1194","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1195","LINIERO","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"1196","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","64.4","35.42","211.77","0","311.59","","","","","","","","","","","",""
"1197","AYUDANTE DE EQUIPO Y/O MAQUINARIA PESADA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1198","AYUDANTE DE TRACTOR","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1199","JEFE DEL PARQUE JIPIRO (E)","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público 6","1412","13578.41","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"1200","RECAUDADOR DE PARQUEADERO Y/O ESTACIONAMIENTO","CODIGO DE TRABAJO","3.06.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1201","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1202","ALBAÑIL","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","578","6936","54.59","35.42","77.12","0","167.13","","","","","","","","","","","",""
"1203","PEON","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","50.14","35.42","40.62","0","126.18","","","","","","","","","","","",""
"1204","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","52.89","35.42","73.71","0","162.02","","","","","","","","","","","",""
"1205","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1206","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","596","7152","61.86","35.42","146.32","0","243.6","","","","","","","","","","","",""
"1207","CONSERJE","CODIGO DE TRABAJO","2.01.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1208","ANALISTA DE DIBUJO TÉCNICO","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1209","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1210","ESPECIALISTA DE PROYECTOS","LOSEP-SOC","3.01.01.001.001.7.1.05.10","Servidor Público 5","1212","5130.8","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1211","OFICINISTA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1212","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1213","AYUDANTE DE COCINA","CODIGO DE TRABAJO","2.03.01.017.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1214","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","60.79","35.42","168.48","0","264.69","","","","","","","","","","","",""
"1215","ANALISTA DE CONTABILIDAD 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1216","OFICINISTA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1217","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1218","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1219","PROMOTOR SOCIAL","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1220","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1221","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"1222","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","67.55","35.42","249.58","0","352.55","","","","","","","","","","","",""
"1223","INSPECTOR DE COMISARIA MUNICIPAL","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","773","9276","64.42","35.42","0","0","99.84","","","","","","","","","","","",""
"1224","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1225","AYUDANTE DE COCINA","CODIGO DE TRABAJO","2.03.01.014.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1226","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1227","OPERADOR DE MOTONIVELADORA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","73.82","35.42","147.84","0","257.08","","","","","","","","","","","",""
"1228","CARPINTERO","CODIGO DE TRABAJO","2.03.01.027.001.7.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"1229","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1230","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1231","ECONOMO","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"1232","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1233","AYUDANTE DE PARVULARIA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1234","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"1235","JORNALERO","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1236","ADMINISTRADOR DE MERCADOS 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1237","ENFERMERA","LOSEP","2.03.01.001.001.7.1.01.05","","667","8004","55.58","35.42","0","0","91","","","","","","","","","","","",""
"1238","INGENIERO CIVIL 3","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1239","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","596","7152","66.3","35.42","199.64","0","301.36","","","","","","","","","","","",""
"1240","OPERADOR DE PLANTA DE TRATAMIENTO DE AGUA POTABLE","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"1241","DIGITADOR","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1242","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1243","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1244","INSPECTOR","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","73.58","35.42","207.94","0","316.94","","","","","","","","","","","",""
"1245","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","3291.2","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1246","AUXILIAR DE ARCHIVO","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1247","ODONTOLOGA 1","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1248","JEFE DE SANEAMIENTO","LOSEP","3.03.02.001.001.6.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1249","RECAUDADOR DE CABINA","CODIGO DE TRABAJO","4.01.01.001.004.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1250","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1251","OFICINISTA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1252","AUXILIAR DE ARCHIVO","CODIGO DE TRABAJO","3.01.07.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1253","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1254","BARREDOR","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","50.88","35.42","49.61","0","135.91","","","","","","","","","","","",""
"1255","INSPECTOR","LOSEP","3.06.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1256","CONTADORA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 2","901","11354.43","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"1257","ANALISTA PERSONAL DE BASE DE DATOS Y NOMINA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 4","1086","13032","90.5","35.42","0","0","125.92","","","","","","","","","","","",""
"1258","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1259","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1260","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1261","OFICINISTA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1262","INSPECTOR","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1263","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1264","OPERADOR DE TRACTOR","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"1265","PROMOTOR SOCIAL","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 2","901","10812","85.08","35.42","120","0","240.5","","","","","","","","","","","",""
"1266","COORDINADOR DE BODEGA","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público 3","986","11832","87.65","35.42","65.76","0","188.83","","","","","","","","","","","",""
"1267","CONSERJE","CODIGO DE TRABAJO","2.03.01.027.001.7.1.01.06","","561","6058.8","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1268","COORDINADOR GENERAL","LOSEP","1.01.01.001.001.5.1.01.05","Nivel Jerárquico Superior 1","2226","15582","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"1269","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1270","ADMINISTRADOR DEL MERCADO CENTRO COMERCIAL LOJA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1271","ESPECIALISTA DE MATRICULACION VEHICULAR","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público 5","1212","8632.94","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1272","OPERADOR DE MAQUINARIA O EQUIPO PESADO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"1273","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"1274","JEFE DE BODEGA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 6","1412","16944","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"1275","COORDINADOR DE TECNOLOGIA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 4","1086","13032","90.5","35.42","0","0","125.92","","","","","","","","","","","",""
"1276","AYUDANTE DE RELACIONES PUBLICAS","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1277","DIRECTOR DE TALENTO HUMANO","LOSEP","1.01.01.001.001.5.1.01.05","Nivel Jerárquico Superior 1","2226","16769.2","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"1278","GUARDIA","CODIGO DE TRABAJO","2.03.01.011.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1279","ADMINISTRADOR DE MERCADOS 1","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"1280","INSPECTOR-NOTIFICADOR","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1281","CHOFER DE VEHICULOS PESADOS","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","614","7368","51.17","35.42","0","0","86.59","","","","","","","","","","","",""
"1282","ARQUITECTO","LOSEP","3.04.06.002.001.7.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"1283","COORDINADOR DE CALIDAD AMBIENTAL","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público 7","1676","20112","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"1284","INGENIERO CIVIL 4","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público 6","1412","16944","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"1285","MÚSICO DE BANDA MUNICIPAL","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"1286","AUXILIAR DOCUMENTAL","LOSEP","1.07.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"1287","COORDINADOR DE LOS CENTROS CULTURALES Y MUSEOS","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 4","1086","13032","90.5","35.42","0","0","125.92","","","","","","","","","","","",""
"1288","COORDINADOR DE PRESUPUESTO","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 2","901","14299.45","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"1289","COORDINADOR DE SALUD","LOSEP","3.02.02.001.001.7.1.01.05","Servidor Público 5","1212","7474","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1290","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1291","AYUDANTE DE SOLDADOR","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1292","JEFE DE EJECUCIÓN DE OBRAS (E)","LOSEP","3.06.01.001.001.5.1.01.05","Servidor Público 7","1676","15529.69","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"1293","JORNALERO","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","599.31","7191.72","49.94","35.42","0","0","85.36","","","","","","","","","","","",""
"1294","CONTADORA","LOSEP","3.06.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"1295","MECANICO","LOSEP","3.03.02.001.001.7.1.01.05","Servidor Público de Apoyo 4","733","10951.5","68.96","35.42","94.55","0","198.93","","","","","","","","","","","",""
"1296","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1297","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","64.89","35.42","217.62","0","317.93","","","","","","","","","","","",""
"1298","JORNALERA","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1299","OFICINISTA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8780.2","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"1300","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","49.68","35.42","35.1","0","120.2","","","","","","","","","","","",""
"1301","CONSERJE","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1302","VETERINARIO 1","LOSEP-SOC","1.03.06.001.001.5.1.05.10","Servidor Público 2","901","3093.43","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"1303","COORDINADOR/A DEL SISTEMA DE PROYECTOS","LOSEP-SOC","3.01.06.001.001.7.1.05.10","Servidor Público 5","1212","14382.4","101","35.42","0","0","136.42","","","","","","","","","","","",""
"1304","TERAPISTA FISICO","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"1305","OPERADOR DE AVION NO TRIPULADO","LOSEP-SOC","3.04.04.001.001.7.1.05.10","Servidor Público de Apoyo 4","733","8827.83","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1306","BARREDOR","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1307","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"1308","INSPECTOR 1","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1309","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1310","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","9801.76","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1311","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1312","SECRETARIA","LOSEP","4.01.05.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1313","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"1314","ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"1315","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","374","6545","31.17","23.61","0","0","54.78","","","","","","","","","","","",""
"1316","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"1317","JORNALERO","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","561","6732","64.01","35.42","207.09","0","306.52","","","","","","","","","","","",""
"1318","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","65.37","35.42","223.47","0","324.26","","","","","","","","","","","",""
